Zip_Code,new_primary_key,Q25_Sold_Info_Loan_Type,Q25_Sold_Info_Loan_Type_TEXT,Q4_Solar_Panels__KW,Q5_Solar_Panels_Ownership,Q6_Prepaid_or_Zerodown,Q7_Lease_Payment_Monthly,Q8_Solar_Installer_Name,Q9_Prepay_Stipulation,Q10_1_Matrix_Good_Environment,Q10_2_Matrix_Climate_Change_Concern,Q10_3_Matrix_Cleaner_Energy,Q10_4_Matrix_Lower_Electric_Bills,Q10_5_Matrix_Net_Metering_Profit,Q10_6_Matrix_Rent_Property,Q10_7_Matrix_Social_Network,Q10_8_Matrix_Maintenance_Repair,Q10_9_Matrix_Add_Value_to_Home,Q10_10_Matrix_Go_Off_Grid,Q18_Storage_Familiar,Q19_1_Storage_Usage_Backup,Q19_2_Storage_Usage_LoadShifting,Q19_3_Storage_Usage_OffGrid,Q26_Storage_Influence_HomePurchase,Q20_Storage_Likelyhood_to_Buy_Batteries,Q14_Demographics_Gender,Q13_Demographics_Age,Q17_Demographics_Income_Range,Q17_Income_Range_Holder,Q15_Demographics_Race_Ethnicity,Q15_Other_TEXT_Demographics_Race_Ethnicity,Q16_Demographics_Education,Q11_Qual_Question_1,Q12_Qual_Question_2
85249,1536,c) VA,,,a) Leased solar,a) Took over payments on the lease,136,Solar City,"b) No, this was not a stipulation",Very positive,Neutral,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,3,3,1,c) More likely to buy,c) Undecided,Female,40,"$100,000 or more",100,White,,Bachelor degree,,
85383,1541,a) Conventional,,5,b) Owned solar,c) System is owned,,American Solar and Roofing,,Neutral,Neutral,Somewhat positive,Somewhat positive,Somewhat positive,Neutral,Neutral,Neutral,Neutral,Neutral,c) A Little familiar,1,2,3,b) No influence,a) Very Unlikely,Male,49,"$70,000 â€“ $79,999",70,White,,Some college but no degree,The solar panels produce almost exactly what they are expected to produce,We bought the model home which came with solar. It slightly reduces the cost of electricity. We like the fact that we are creating some of our own energy and not polluting to do so. 
85396,1549,d) Cash,,8,b) Owned solar,c) System is owned,,SunPower,,Very positive,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Somewhat positive,Somewhat positive,Very positive,Somewhat positive,d) Vaguely familiar,1,,,c) More likely to buy,c) Undecided,Male,63,"$100,000 or more",100,White,,Graduate degree,Yes please. In fact that it is virtually maintenance free.,
85254,1560,c) VA,,,a) Leased solar,a) Took over payments on the lease,116,Solar City,"b) No, this was not a stipulation",Somewhat positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,3,1,3,b) No influence,a) Very Unlikely,Female,38,"$100,000 or more",100,White,,Graduate degree,,Worries me for resale the new buyers will be obligated to take over the lease and may scare away buyers (some). 
85308,1565,c) VA,,,a) Leased solar,a) Took over payments on the lease,100.27,Solar City,c) I don't know,Very positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,d) Vaguely familiar,1,,1,b) No influence,c) Undecided,Female,63,"$90,000 â€“ $99,999",90,White,,Bachelor degree,"Yes, even more so. Our electric bills have been very affordable even with the @100.00 + payments to the solar company. ",It was easy. Maintenance and repairs handled by Solar City. We love it and would recommend either lease or purchase of solar system. 
85331,1577,a) Conventional,,,b) Owned solar,c) System is owned,,,c) I don't know,Somewhat positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,b) Somewhat familiar,,3,,c) More likely to buy,d) Somewhat Likely,Male,36,"$100,000 or more",100,White,,Bachelor degree,Have met expectations. Electricity costs are similar to our previous home without solar that was smaller and did not have a pool. We are still trying to figure out the benefit of having the solar by comparing costs to neighbors and running the pool at different times of the day.,
85375,1581,d) Cash,,,b) Owned solar,c) System is owned,,,,Somewhat positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Very positive,Very positive,Very positive,Very positive,b) Somewhat familiar,,1,,b) No influence,b) Unlikely,Male,76,"$70,000 â€“ $79,999",70,White,,Bachelor degree,Yes - electric costs are 0 - only tax & fees of $9.50/month compared to $320/month for my neighbor,
85374,1603,c) VA,,9.6,a) Leased solar,a) Took over payments on the lease,61,Solar City,"b) No, this was not a stipulation",Very positive,Somewhat positive,Very positive,Very positive,Somewhat positive,Very negative,Very positive,Very positive,Very positive,Very positive,c) A Little familiar,2,3,1,c) More likely to buy,d) Somewhat Likely,Male,46,"$100,000 or more",100,American Indian or Alaska Native,,Graduate degree,It was a very easy process and love the cost savings.,in the winter my bills are less $10.00 a month. 
85296,1618,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,86.01,Solar City,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,Neutral,Neutral,Somewhat negative,Neutral,e) Never heard of it,2,1,3,b) No influence,b) Unlikely,Female,40,"$90,000 â€“ $99,999",90,White,,Some college but no degree,Yes relatively no maintenance or awareness  / electricity bill in summer is cheaper than other similar houses in community ,I heard it was a negative for resale which made me hesitate since I don't think I will live here more than 10 years. So I am a little nervous for when I put on market. 
85020,1620,d) Cash,,,a) Leased solar,a) Took over payments on the lease,120,,"b) No, this was not a stipulation",Very positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat positive,,2,3,1,c) More likely to buy,c) Undecided,Male,35,,,Black or African American,,Graduate degree,,
85387,1623,c) VA,,,a) Leased solar,a) Took over payments on the lease,127,Solar Corporation,c) I don't know,Somewhat positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Very positive,Somewhat positive,Neutral,e) Never heard of it,1,,,b) No influence,c) Undecided,Male,84,"$60,000 â€“ $69,999",60,White,,Graduate degree,"Absolutely yes. The solar PV system was one of many ""up-grades"" that made this home attractive to me.","Within the past year I have ""down-sized"" from a 3411 square foot home with 24 PV panels - leased from Solar City - to a 2400 square foot home with 35 PV panels leased from Solar Corporation.  / I have been very pleased with both experiences - no problems with either one (so far). While I am not a fanatic about Solar panels, eg I do not monitor the monthly APS bill (I do pay it however), I know that solar energy has saved me several hundred dollars annually. "
85395,1627,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,107,,c) I don't know,Very positive,Neutral,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,c) A Little familiar,1,2,2,b) No influence,c) Undecided,Male,67,"$70,000 â€“ $79,999",70,White,,Graduate degree,Yes - no expectations ,With monthly payment of $107 lease and $15 / month for power company total cost is around $122 / month. I think my power bill would be similar without solar. Have not received payment yet for excess power. Am not there in summer heat for high AC. 
85339,1628,a) Conventional,,3.5,a) Leased solar,b) Lease was pre-paid,,,"a) Yes, this was a stipulation",Very positive,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,b) Somewhat familiar,2,1,3,c) More likely to buy,d) Somewhat Likely,Female,45,"$80,000 â€“ $89,999",80,White,,Graduate degree,Yes,
85383,1634,a) Conventional,,,a) Leased solar,b) Lease was pre-paid,,Solar City,"b) No, this was not a stipulation",Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Somewhat positive,Neutral,Very positive,Somewhat positive,Very positive,Very positive,e) Never heard of it,,1,,,c) Undecided,Female,66,"$100,000 or more",100,White,,Graduate degree,Yes,
85042,1639,a) Conventional,,3,a) Leased solar,a) Took over payments on the lease,60,First Solar,c) I don't know,Somewhat positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Very positive,b) Somewhat familiar,,,1,c) More likely to buy,b) Unlikely,Male,47,"$70,000 â€“ $79,999",70,White,,Bachelor degree,"No, I didn't realize that SRP would annually zero out my surplus credits which doesn't allow me to use energy I generate during peak months. ",SRP is an evil greedy company
85396,1640,d) Cash,,,b) Owned solar,c) System is owned,,,,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Very positive,Neutral,d) Vaguely familiar,,,,,b) Unlikely,Female,66,"$80,000 â€“ $89,999",80,White,,Graduate degree,"Yes, the bills are low - it's wonderful. ",
85254,1646,d) Cash,,,b) Owned solar,c) System is owned,,SunPower / Salt RIver Solar,,Very positive,Somewhat positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Neutral,d) Vaguely familiar,3,1,2,b) No influence,c) Undecided,Female,55,"$30,000 â€“ $39,999",30,White,,Graduate degree,"I had hoped there would be a bigger impact on my electric bills, but my bills have been higher than I had hoped. ",
85339,1659,a) Conventional,,,b) Owned solar,c) System is owned,,,,Very positive,Neutral,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Very positive,c) A Little familiar,3,1,2,b) No influence,c) Undecided,Male,58,"$100,000 or more",100,White,,Bachelor degree,I expected it to produce more energy to make the usage neutral.,
85140,1665,a) Conventional,,9.18,a) Leased solar,a) Took over payments on the lease,96,Solar City,"b) No, this was not a stipulation",Somewhat positive,Somewhat positive,Neutral,Somewhat positive,Neutral,Neutral,Somewhat negative,Very negative,Somewhat negative,Neutral,d) Vaguely familiar,2,1,3,c) More likely to buy,c) Undecided,Male,48,"$100,000 or more",100,White,,Graduate degree,"Yes, much lower total electricity cost for A/C due to offset from solar.","The fact that the solar was installed already and a lease almost caused me to not purchase home.  I liked the idea of so,at, but not the idea of leading my roof , yet being responsible for removing the panels to do any maintenance on the roof."
85086,1671,a) Conventional,,12,a) Leased solar,a) Took over payments on the lease,116.66,Solar City,"b) No, this was not a stipulation",Somewhat positive,Neutral,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Somewhat negative,Somewhat positive,Neutral,e) Never heard of it,1,2,3,b) No influence,b) Unlikely,Female,32,"$100,000 or more",100,White,,Bachelor degree,We had no expectations coming in but have been pleasantly surprised! The solar has been great - very efficient and cost efficient as well :),"In the leasing process the payments will continue to increase annually. Not sure we are too happy about that, but it seems it will pay off in the end. Wondering if it would be smarter to buy outright rather than lease. Also not entirely sure if it will help or hurt our resale value when the time comes to put it on the market."
85383,1678,a) Conventional,,7,a) Leased solar,b) Lease was pre-paid,,Solar City,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,d) Vaguely familiar,,1,,b) No influence,a) Very Unlikely,Male,75,"$60,000 â€“ $69,999",60,White,,Associate degree,Yes - just have to be careful not to run appliances during peak period (noon-7pm),Positive overall
85286,1680,b) FHA,,,a) Leased solar,b) Lease was pre-paid,,Sunpower,c) I don't know,Very positive,Neutral,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Somewhat negative,Somewhat positive,Somewhat positive,e) Never heard of it,2,1,3,b) No influence,c) Undecided,Male,47,"$100,000 or more",100,White,,Bachelor degree,,
85086,1682,d) Cash,,7,a) Leased solar,a) Took over payments on the lease,119,Sun Valley Solar Solutions,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,b) Somewhat familiar,2,1,3,b) No influence,c) Undecided,Male,43,"$100,000 or more",100,Prefer not to answer,,Graduate degree,,
85234,1684,c) VA,,9.75,a) Leased solar,a) Took over payments on the lease,100,Solar City,"b) No, this was not a stipulation",Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,Neutral,Neutral,Very negative,Somewhat positive,Somewhat positive,b) Somewhat familiar,2,1,3,b) No influence,c) Undecided,Male,54,"$60,000 â€“ $69,999",60,White,,Trade/technical/vocational training,Somewhat. Cost of the unit vs. savings over time seems to not warrant the installation.,"I feel the electric power companies are unfairly penalizing solar owners by, at first telling us to save power as much as possible, and then, saying we are saving too much, and needing to add a surcharge to our monthly bill so we pay our ""fair share"". "
85339,1691,a) Conventional,,,a) Leased solar,b) Lease was pre-paid,,Solar City,c) I don't know,Very positive,Somewhat positive,Somewhat positive,Very positive,Neutral,Very negative,Very negative,Very positive,Somewhat positive,Neutral,e) Never heard of it,1,2,3,b) No influence,c) Undecided,Female,24,"$50,000 â€“ $59,999",50,Hispanic or Latino,,"High school graduate, diploma or equivalent (for example: GED)",Yes lower bills.,
85387,2842,d) Cash,,10.44,b) Owned solar,c) System is owned,,SMA Sunny Boy,,Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Very positive,e) Never heard of it,2,3,1,c) More likely to buy,c) Undecided,Male,39,"$60,000 â€“ $69,999",60,White,,Bachelor degree,"Yes overall, but may add more panels in future.","Rather pay less now, than later more."
85396,1700,a) Conventional,,,a) Leased solar,b) Lease was pre-paid,,Sun Valley Solar Sun Power Corp.,"b) No, this was not a stipulation",Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,d) Vaguely familiar,2,1,3,c) More likely to buy,b) Unlikely,Female,70,"$30,000 â€“ $39,999",30,White,,Bachelor degree,Yes. Was looking for lower electricity bills. Has exceeded my expectations. ,"Had difficult time with Solar installation company. No introduction or explanation of solar system upon acquiring lease. Led to problems with company owning panels, lots of emails but no on e to contact to resolve what the problem was or how to correct it. "
85375,1702,a) Conventional,,7.68,a) Leased solar,b) Lease was pre-paid,,Solar City,"b) No, this was not a stipulation",Very positive,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Somewhat positive,Neutral,Very positive,Very positive,d) Vaguely familiar,2,3,1,b) No influence,a) Very Unlikely,Male,72,"$40,000 â€“ $49,999",40,White,,Graduate degree,"Yes, my monthly APS electric bills are amazingly low!  / 5/21/15 to 6/22/15 - $14.37 / 4/22/15 to 5/21/16 - $13.11","Solar City keeps wanting me to set up an account to daily monitor but I haven't had any luck with their program so that HASN'T happened. (emphasis added by respondent)  / I never look at this system which the previous owner paid full 20 year lease of $11,290.00 in June of 2012. We are in our 70s and expect to outlast this lease which has almost 17 years remaining!"
85388,1715,b) FHA,,3.1,a) Leased solar,b) Lease was pre-paid,,Solar City,"b) No, this was not a stipulation",Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,d) Vaguely familiar,2,1,3,c) More likely to buy,b) Unlikely,Male,40,"$100,000 or more",100,Black or African American,,Bachelor degree,"yes.  after we got the contract transfer sorted from the original home owner who pre-paid the lease, we were then able to reap the benefits of the system.  We have a 2 story home, and for 8-9 months of the year, our electric bills are less than $40/mo.  During June, July and August, they're higher, but the highest has only been $177.  That's still so much less than many people are paying for electric here in AZ. /  / We are very good at keeping things turned off when we're not using them and our home has a lot of natural light anyway.  All in all, it's been a great deal.","Do it. It's good for the environment, first and foremost.  secondly, it's  good for your finances.  It's a shame home builders don't simply install solar by default here in AZ... a place with such abundant sunshine, it's so silly to let it go to waste. /  / Perhaps in the future when the numpty climate change denier goons are further exposed for their idiocy, especially those in power in AZ (the idiot governor and both idiot senators, as well as the moron in the state house that thinks the earth is only 6000 yrs old), we will be able to move forward to ensure this planet is still habitable in the future."
85255,1719,d) Cash,,,a) Leased solar,b) Lease was pre-paid,,SunPower,c) I don't know,Neutral,Neutral,Neutral,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Neutral,Neutral,c) A Little familiar,1,,,b) No influence,b) Unlikely,Male,47,"$100,000 or more",100,White,,Graduate degree,Yes - saved money and has been reliable.,"Had no influence in my home buying decision.  / Keep up the science, you big lug!"
85379,1721,a) Conventional,,10,a) Leased solar,a) Took over payments on the lease,83,Solar City,"b) No, this was not a stipulation",Very positive,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,c) A Little familiar,3,1,2,c) More likely to buy,c) Undecided,Male,62,"$30,000 â€“ $39,999",30,White,,Graduate degree,"Yes, no surprises.",
85050,1727,d) Cash,,,a) Leased solar,b) Lease was pre-paid,,Solar City,"a) Yes, this was a stipulation",Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Somewhat negative,Somewhat positive,Neutral,e) Never heard of it,3,1,2,b) No influence,c) Undecided,Female,67,,,White,,Bachelor degree,"Yes, electric cost during summer months has been very low.",
85326,1747,d) Cash,,,a) Leased solar,a) Took over payments on the lease,128,Solar City,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,Neutral,Neutral,Neutral,Neutral,c) A Little familiar,3,1,2,c) More likely to buy,c) Undecided,Male,43,"$70,000 â€“ $79,999",70,White,,Some college but no degree,No I feel that I'm not getting anything. Just paying two power companies instead of one.,No one from the Solar City company has ever come to my house to explain to me how the system works.
85387,1749,b) FHA,,,a) Leased solar,a) Took over payments on the lease,119,Solar City,,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Somewhat positive,Somewhat positive,Somewhat positive,c) A Little familiar,2,1,3,c) More likely to buy,d) Somewhat Likely,Male,49,"$100,000 or more",100,White,,Some college but no degree,Somewhat. Savings but we were mislead a little during the summer months. ,
85202,1753,e) Other,,,b) Owned solar,c) System is owned,,,,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Very positive,Very negative,Somewhat positive,Somewhat positive,Neutral,Neutral,d) Vaguely familiar,3,2,1,b) No influence,b) Unlikely,Female,47,"$100,000 or more",100,White,,Some college but no degree,Never thought about it before,"I am interested in knowing if the solar panels even work, and how to go about getting that into play. Cost does have a factor."
85015,1764,d) Cash,,1.6,a) Leased solar,a) Took over payments on the lease,25.28,Solar City,c) I don't know,Very positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,d) Vaguely familiar,,,1,a) Less likely to buy,a) Very Unlikely,Male,42,"$100,000 or more",100,White,,Bachelor degree,"I am a little disappointed that we don't save more money on our electric bill. However, our solar array is relatively small. It's a little hard to measure, since I never saw an electric bill for this house before the solar was put in, and I haven't really looked at the math. ","We are glad to have it. We save some money, and I like the idea of using less fossil fuel.  / I am worried that when our lease is up, it won't be in our best interest to renew because of new fees that SRP has tacked on."
85086,1765,a) Conventional,,8.28,a) Leased solar,b) Lease was pre-paid,,Solar City,,Neutral,Neutral,Somewhat positive,Very positive,Somewhat positive,Neutral,Neutral,Very positive,Very positive,Neutral,d) Vaguely familiar,2,1,3,c) More likely to buy,c) Undecided,Male,34,"$100,000 or more",100,White,,Bachelor degree,Yes I have very low power bills and will for the duration of the lease.,
85203,1775,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,206.74,Solar City,c) I don't know,Neutral,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Very positive,Very positive,Very positive,Neutral,e) Never heard of it,1,1,2,c) More likely to buy,c) Undecided,Female,56,"$100,000 or more",100,White,,Some college but no degree,Yes it has. Our bills are definitely lower. Our lease stays the same for 20 years. No increase. We had a problem with system and they were on it to fix it. ,Refer to above. Our electricity bills are definitely lower than what they would be without solar. 
85383,1780,a) Conventional,,,b) Owned solar,c) System is owned,,American Solar Electric,,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Somewhat positive,Neutral,Somewhat positive,Very positive,e) Never heard of it,2,1,3,c) More likely to buy,c) Undecided,Female,49,"$70,000 â€“ $79,999",70,White,,Graduate degree,Still new to this. Need to learn more.,
85396,1787,a) Conventional,,,b) Owned solar,c) System is owned,,Solar City,,Very positive,Very negative,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Somewhat negative,Somewhat positive,Very negative,e) Never heard of it,,1,,c) More likely to buy,c) Undecided,Female,40,"$80,000 â€“ $89,999",80,White,,Graduate degree,Yes no APS bill,
85383,1789,a) Conventional,,,b) Owned solar,c) System is owned,,Meritage Homes Echo Solar,,Neutral,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,c) A Little familiar,1,,,c) More likely to buy,c) Undecided,Male,48,"$100,000 or more",100,White,,Bachelor degree,"Yes, on-line control of thermostat - seamless operatio / Reduced electric bill","I think that consideration should be given to mandating solar similarly to code required for earthquake zones, hurricane zones, etc.  / If areas conducive to solar were required to have it, the costs would be reduced significantly due to economies of scale and the price rolled into a 30 year mortgage would be inconsequential."
85387,1792,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,159,REC Solar,"b) No, this was not a stipulation",Somewhat negative,Somewhat negative,Somewhat negative,Very negative,Neutral,Neutral,Neutral,Neutral,Somewhat negative,Neutral,e) Never heard of it,,,,,b) Unlikely,Female,68,"$80,000 â€“ $89,999",80,White,,"High school graduate, diploma or equivalent (for example: GED)",Yes! very economical,Financed with NRG located in Texas - extremely difficult to work with!!
85297,1800,c) VA,,10,a) Leased solar,a) Took over payments on the lease,106,First Solar,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Very positive,Somewhat positive,Neutral,Neutral,Very positive,Somewhat positive,Neutral,b) Somewhat familiar,2,1,3,b) No influence,d) Somewhat Likely,Male,59,"$100,000 or more",100,White,,Bachelor degree,Yes even produces higher percentage of my electricity than I thought it would.,A lot of people said they would not buy a house with a solar lease.
85388,1801,c) VA,,,a) Leased solar,b) Lease was pre-paid,,Solar City,"b) No, this was not a stipulation",Very positive,Neutral,Very positive,Very positive,Neutral,Somewhat positive,Neutral,Somewhat negative,Very positive,Very positive,c) A Little familiar,3,1,2,c) More likely to buy,,Male,45,"$100,000 or more",100,White,,Bachelor degree,"Yes. Harnessing, the sun's energy so we don't burden the general grid brings us great satisfaction. ",Would like to know about the possibility of storing energy in batteries.
85048,1803,a) Conventional,,1.7,a) Leased solar,a) Took over payments on the lease,111,Solar City,"b) No, this was not a stipulation",Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Somewhat negative,Neutral,b) Somewhat familiar,2,1,3,b) No influence,c) Undecided,Male,44,"$100,000 or more",100,White,,Some college but no degree,No. Hasn't lowered electric bills as much as expected and SRP changes increases concern for reselling.,
85375,1805,a) Conventional,,,b) Owned solar,c) System is owned,,,,Neutral,Neutral,Somewhat positive,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,,,,b) No influence,a) Very Unlikely,Male,69,"$60,000 â€“ $69,999",60,White,,Bachelor degree,So far so good -  / no problems or repairs - time will tell,We were more concerned about location of the home and related features and potential upgraded planned. Solar was an enhancement.
85375,1813,a) Conventional,,,a) Leased solar,b) Lease was pre-paid,,NRG,,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Very positive,Neutral,e) Never heard of it,1,2,3,b) No influence,a) Very Unlikely,Female,66,,,White,,Trade/technical/vocational training,Yes Electric bills are low.,
85338,1822,c) VA,,7.5,a) Leased solar,b) Lease was pre-paid,,Solar City,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,,,,1,c) More likely to buy,c) Undecided,Male,49,"$100,000 or more",100,White,,Some college but no degree,"Yes, the pre-paid lease has made this a good investment. We paid slightly more for the house. I look at it as mortgaging some of the energy cost. I doubt I would have leased it directly myself. The difference would have been negligible. ","The house was being sold for 20K higher, but it did not appraise. The price was lowered after it did not appraise. Solar as with pools are nice to have but do not raise the price anywhere near this investment. I do not put any weight on environmental concerns. I do not think humans are impacting climate change at the degree some would think. "
85374,1823,a) Conventional,,10,a) Leased solar,a) Took over payments on the lease,163.4,Solar City,,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Very positive,Neutral,Somewhat positive,Neutral,Very positive,Somewhat positive,e) Never heard of it,1,3,2,b) No influence,c) Undecided,Female,54,"$80,000 â€“ $89,999",80,White,,Bachelor degree,"Yes. Grandfathered in, so if APS increases cost to customers with solar, our bill will not go up.",
85032,1825,a) Conventional,,7,b) Owned solar,c) System is owned,,,"b) No, this was not a stipulation",Somewhat positive,Very negative,Somewhat positive,Very positive,Very positive,Very negative,Neutral,Neutral,Very positive,Neutral,b) Somewhat familiar,1,3,2,c) More likely to buy,c) Undecided,Male,46,"$100,000 or more",100,White,,Graduate degree,Yes. Very much. Our electric bills are less than $14 per month and we can use as much electricity as we wish.,"Since it's just my wife and I living in the home and we work during the day (turn the A/C off), it wouldn't make sense for us to purchase a solar system since we don't use that much electricity. But the fact that the home had it already added to the perceived value to us. Also, I would eventually like to purchase a plug in vehicle to take advantage of the free electricity."
85351,1827,d) Cash,,3,b) Owned solar,c) System is owned,,REC Solar,,Very positive,Very positive,Very positive,Very positive,Somewhat positive,Somewhat positive,Neutral,Neutral,Somewhat positive,Somewhat positive,d) Vaguely familiar,1,3,2,c) More likely to buy,b) Unlikely,Female,66,"$30,000 â€“ $39,999",30,White,,Bachelor degree,I haven't had any problems,
85295,1828,d) Cash,,3,b) Owned solar,c) System is owned,,American Solar,,Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,Neutral,Somewhat negative,Neutral,Somewhat positive,b) Somewhat familiar,,1,,b) No influence,e) Very Likely,Male,61,"$100,000 or more",100,White,,Bachelor degree,yes,
85374,1829,a) Conventional,,,b) Owned solar,c) System is owned,,,,Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Very positive,b) Somewhat familiar,3,2,1,c) More likely to buy,e) Very Likely,Male,45,"$100,000 or more",100,White,,Some college but no degree,The only drawback is all the fees charged by APS to have electric hookup. We have months that we have an actual electric bill of $30 or $40 but with all the surcharges and fees it's another $100. ,
85383,1830,a) Conventional,,9.55,a) Leased solar,b) Lease was pre-paid,,Sunrun,"b) No, this was not a stipulation",Somewhat positive,Somewhat positive,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,d) Vaguely familiar,2,1,3,c) More likely to buy,d) Somewhat Likely,Male,30,"$100,000 or more",100,White,,Bachelor degree,Absolutely. Previous owners pre-paid 20 year of lease. Panels added to value of home. Decreased energy bill and renewable energy were large factors in purchase of this particular home. ,Was very easy as everything was built into mortgage. Did not cost us any additional money and has saved us thousands to where I have considered solar plus batteries. 
85375,1838,c) VA,,,a) Leased solar,a) Took over payments on the lease,140.02,Solar City,"b) No, this was not a stipulation",Very positive,Neutral,Very positive,Very positive,Very positive,Very negative,Very negative,Very negative,Very positive,Very positive,e) Never heard of it,1,,,b) No influence,b) Unlikely,Male,75,"$90,000 â€“ $99,999",90,White,,Bachelor degree,,
85373,1840,d) Cash,,6.615,a) Leased solar,a) Took over payments on the lease,107,Solar City,"b) No, this was not a stipulation",Very positive,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Very positive,Somewhat positive,Very positive,Neutral,e) Never heard of it,1,,,b) No influence,c) Undecided,Male,84,"$30,000 â€“ $39,999",30,Prefer not to answer,,Some college but no degree,Yes,
85085,1841,d) Cash,,7.5,b) Owned solar,c) System is owned,,American Solar Electric,,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Very positive,Very positive,b) Somewhat familiar,1,2,3,c) More likely to buy,c) Undecided,Male,61,"$100,000 or more",100,White,,Some college but no degree,"Yes, this home is twice the size of our previous home and has a pool. the power bill is about 80% of the other place.",If the controller has the capacity we will add more panels. We WILL (emphasis added by respondent) research adding batteries!
85387,1842,d) Cash,,5.74,a) Leased solar,a) Took over payments on the lease,68.41,Solar City,c) I don't know,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Somewhat positive,Neutral,Neutral,Neutral,d) Vaguely familiar,,1,,b) No influence,c) Undecided,Male,59,"$100,000 or more",100,White,,Graduate degree,Yes,
85383,1843,c) VA,,10.8,b) Owned solar,c) System is owned,,Sky High Energy,,Very positive,Neutral,Very positive,Very positive,Very positive,Neutral,Neutral,Somewhat positive,Very positive,Somewhat positive,c) A Little familiar,,,1,c) More likely to buy,d) Somewhat Likely,Female,64,,,White,,Bachelor degree,No. APS has not been calculating our solar properly and over billing us according to previous owners records.,The solar company has been very helpful in working with us to resolve issues.
